Zc,51,7021,false,left,false,1,0,0,0,1,0,0,X,2,1,2,1,1,0,0,BOTH,6,E,3,1,x,false,false,false,"Main scorer, awkward maneuverability bc of rectangle shape"
RM,52,6348,false,right,true,1,0,0,0,0,0,0,X,2,1,0,0,0,0,0,SUBSTATION,4,E,3,4,x,false,false,false,"Got a penalty near the end, probably extended too far"
Zc,52,9219,false,right,true,0,0,1,0,0,0,0,X,0,0,2,0,1,0,0,SUBSTATION,3,E,2,3,x,false,false,false,Slow.
OC,52,3132,false,middle,false,1,0,0,0,0,0,0,X,2,0,0,0,1,0,2,BOTH,3,E,2,2,3,false,false,false,Dropped a lot of game pieces
JE,52,1771,false,left,false,0,0,0,0,0,0,0,X,0,0,0,0,0,0,0,X,0,X,0,x,x,true,false,false,Died
CW,52,1100,false,left,true,1,0,0,0,0,0,0,X,0,1,2,1,1,0,0,BOTH,4,E,3,2,x,false,false,false,Solid overall.
AK,52,7220,false,middle,true,0,1,0,0,0,0,0,D,0,2,1,0,0,0,0,BOTH,4,E,3,3,3,false,false,false,Slow scoring but scored a lot good driving around
RM,53,3008,false,right,true,0,0,0,0,1,0,0,X,0,0,0,1,1,1,0,GROUND,5,E,2,2,x,false,false,false,Not too good at grabbing pieces
JE,53,4270,false,left,true,1,1,0,0,0,0,0,X,2,0,1,1,0,3,0,BOTH,0,E,0,x,x,false,false,false,
CW,53,115,false,middle,true,0,0,0,0,1,0,1,E,4,2,0,0,0,1,0,BOTH,5,P,2,1,x,false,false,false,They kinda carried their team. Very good.
Zc,53,9168,false,right,true,0,0,0,0,0,0,0,X,0,0,0,0,0,4,0,SUBSTATION,7,E,2,3,x,false,false,false,Slow.
OC,53,3990,false,middle,true,1,0,0,0,0,0,0,E,3,1,0,1,0,0,0,BOTH,7,E,2,1,3,false,false,false,undefined
CW,53,3526,false,left,true,0,0,0,0,0,1,0,X,0,0,0,1,0,3,0,BOTH,5,E,2,3,4,false,false,false,"Slow movement , only score in low and middle"
RM,54,449,false,right,true,1,0,0,0,0,0,0,X,1,1,3,0,0,0,0,SUBSTATION,5,E,2,2,x,false,false,false,Got a penalty but I don't know what for
OC,54,6647,false,right,false,0,0,0,0,1,0,1,X,0,0,2,1,0,0,0,BOTH,4,E,2,3,3,false,false,false,undefined
